Sigmoid Function_0_0,-x*cos(x) + sin(x),tensor(0.2196),-11.628650630808414
Sigmoid Function_36_123,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2653f2e0>>
Sigmoid Function_36_124,x**2 + x + cos(x),tensor(0.1516),-30.306331563389424
Sigmoid Function_36_125,x**4/4 + x,tensor(0.1747),-21.312483549280202
Sigmoid Function_36_126,x**3*acosh(5)/3,tensor(0.2055),-13.944640615076848
Sigmoid Function_36_127,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe40b96d0>>
Sigmoid Function_37_0,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe406ad00>>
Sigmoid Function_37_1,x**3/3,tensor(0.2193),-11.678943786750592
Sigmoid Function_37_2,sqrt(x**2 + x),tensor(0.),0
Sigmoid Function_37_3,x*(cos(x) + acosh(x)),tensor(0.),0
Sigmoid Function_37_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f640ab040>>
Sigmoid Function_37_5,x + cos(x + 3),tensor(0.0907),-99.56787497671978
Sigmoid Function_37_6,-tan(x + 3),tensor(0.1269),-46.30082104471191
Sigmoid Function_37_7,x*(x + sin(x)) + x,tensor(0.1703),-22.719814237950448
Sigmoid Function_37_8,exp(x + 1),tensor(0.0443),-463.9453311463377
Sigmoid Function_37_9,x*asinh(x),tensor(0.2865),-5.204056841435806
Sigmoid Function_37_10,exp(x)/2,tensor(0.4041),-1.1740629320654938
Sigmoid Function_37_11,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f06235a90>>
Sigmoid Function_37_12,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e0f2700>>
Sigmoid Function_37_13,4,tensor(0.),0
Sigmoid Function_37_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f580437f0>>
Sigmoid Function_37_15,x*sin(x + 2),tensor(0.1650),-24.619487839152615
Sigmoid Function_37_16,x**4,tensor(0.2542),-7.612020353725647
Sigmoid Function_37_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2673f370>>
Sigmoid Function_37_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f055fbbb0>>
Sigmoid Function_37_19,16*x**2,tensor(0.0197),-2486.3745237747007
Sigmoid Function_37_20,2*x**2*cos(x) + x,tensor(0.2047),-14.100179775125953
Sigmoid Function_37_21,-5*x**4/2,tensor(0.1039),-73.32514352550433
Sigmoid Function_37_22,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e075f70>>
Sigmoid Function_37_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58320e20>>
Sigmoid Function_37_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa4072400>>
Sigmoid Function_37_25,1,tensor(0.),0
Sigmoid Function_37_26,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa4072460>>
Sigmoid Function_37_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe40995e0>>
Sigmoid Function_37_28,x**3/6,tensor(0.2201),-11.558061041265866
Sigmoid Function_37_29,25*x**3,tensor(0.0144),-4677.841244946182
Sigmoid Function_37_30,x**2*(x**2 + 2*x),tensor(0.1573),-27.72116577568413
Sigmoid Function_37_31,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f06235d90>>
Sigmoid Function_37_32,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc4123d30>>
Sigmoid Function_37_33,9*x**2,tensor(0.0357),-728.502788259031
Sigmoid Function_37_34,-x**3/3,tensor(0.2067),-13.72485502583165
Sigmoid Function_37_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa41592e0>>
Sigmoid Function_37_36,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f84072e20>>
Sigmoid Function_37_37,x*(x + 3),tensor(0.0783),-137.37785813650385
Sigmoid Function_37_38,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f583607c0>>
Sigmoid Function_37_39,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f640ab610>>
Sigmoid Function_37_40,2*x**2*cos(x),tensor(0.2594),-7.147381437154303
Sigmoid Function_37_41,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f055fb130>>
Sigmoid Function_37_42,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f26363430>>
Sigmoid Function_37_43,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f26363610>>
Sigmoid Function_37_44,x*atan(2),tensor(0.1576),-27.592247270042474
Sigmoid Function_37_45,exp(2*x - 1),tensor(0.1989),-15.22161790947601
Sigmoid Function_37_46,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f581f9ac0>>
Sigmoid Function_37_47,x + tan(x) + 3,tensor(0.0502),-356.72129104567006
Sigmoid Function_37_48,0,tensor(0.),0
Sigmoid Function_37_49,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f583faa00>>
Sigmoid Function_37_50,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f585f1610>>
Sigmoid Function_37_51,x**2*exp(2)/2,tensor(0.0922),-95.94600230424415
Sigmoid Function_37_52,x*cos(x) + 4,tensor(0.0389),-609.2449948568797
Sigmoid Function_37_53,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe41dd2e0>>
Sigmoid Function_37_54,x/2,tensor(0.2076),-13.565359302704703
Sigmoid Function_37_55,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa4116250>>
Sigmoid Function_37_56,x + 3/x,tensor(0.0032),-97209.93863087618
Sigmoid Function_37_57,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f841dccd0>>
Sigmoid Function_37_58,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f580733d0>>
Sigmoid Function_37_59,x**2*(x + 3),tensor(0.1189),-53.922207157119175
Sigmoid Function_37_60,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc41d4ee0>>
Sigmoid Function_37_61,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc41d4fd0>>
Sigmoid Function_37_62,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc41d45b0>>
Sigmoid Function_37_63,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc41d4d00>>
Sigmoid Function_37_64,1,tensor(0.),0
Sigmoid Function_37_65,x**2 + exp(x),tensor(0.1067),-69.12944402560423
Sigmoid Function_37_66,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f582ddd30>>
Sigmoid Function_37_67,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f64145730>>
Sigmoid Function_37_68,x**2 + tanh(x),tensor(0.2279),-10.478353004331135
Sigmoid Function_37_69,x*(2*x + 2),tensor(0.1094),-65.25836556301932
Sigmoid Function_37_70,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc40c25e0>>
Sigmoid Function_37_71,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f840fc550>>
Sigmoid Function_37_72,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f840fccd0>>
Sigmoid Function_37_73,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f840fcdc0>>
Sigmoid Function_37_74,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc41d4a30>>
Sigmoid Function_37_75,x**2*(x + atanh(x)),tensor(0.1138),-59.61805558973769
Sigmoid Function_37_76,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc40e6a00>>
Sigmoid Function_37_77,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e1e85b0>>
Sigmoid Function_37_78,12*x*(x + 2),tensor(0.0097),-10315.348282176248
Sigmoid Function_37_79,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f5839e610>>
Sigmoid Function_37_80,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f840724f0>>
Sigmoid Function_37_81,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f840720d0>>
Sigmoid Function_37_82,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f840729a0>>
Sigmoid Function_37_83,x**2*(2*x + 3),tensor(0.1094),-65.21556603942237
Sigmoid Function_37_84,(x + 2)*tan(1),tensor(0.0505),-352.7313262740476
Sigmoid Function_37_85,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f640aa490>>
Sigmoid Function_37_86,x*(x + 3),tensor(0.0783),-137.37785813650385
Sigmoid Function_37_87,(x**2 + 1)/x,tensor(0.0095),-10906.968358268547
Sigmoid Function_37_88,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2673fd90>>
Sigmoid Function_37_89,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc41b7d60>>
Sigmoid Function_37_90,x**5/25,tensor(0.2186),-11.779430000201259
Sigmoid Function_37_91,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc411e3d0>>
Sigmoid Function_37_92,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc40db910>>
Sigmoid Function_37_93,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc40dbfd0>>
Sigmoid Function_37_94,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc40dba00>>
Sigmoid Function_37_95,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f585b8100>>
Sigmoid Function_37_96,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa4132b20>>
Sigmoid Function_37_97,x**2*tan(3),tensor(0.2027),-14.477058381573366
Sigmoid Function_37_98,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2653fa00>>
Sigmoid Function_37_99,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2653fe50>>
Sigmoid Function_37_100,-cos(2*x)/2,tensor(0.1585),-27.17776400502058
Sigmoid Function_37_101,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f5813e340>>
Sigmoid Function_37_102,x + Abs(x),tensor(0.2172),-11.986615139524961
Sigmoid Function_37_103,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe41dde50>>
Sigmoid Function_37_104,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe40d21f0>>
Sigmoid Function_37_105,x**2 + cos(x),tensor(0.1611),-26.10351014684939
Sigmoid Function_37_106,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe41686a0>>
Sigmoid Function_37_107,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe41687f0>>
Sigmoid Function_37_108,x**2*tan(4)/2,tensor(0.2786),-5.701992327326718
Sigmoid Function_37_109,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e0bbc70>>
Sigmoid Function_37_110,x + 9,tensor(0.0164),-3599.9599375707144
Sigmoid Function_37_111,-x**5,tensor(0.1839),-18.689170438846116
Sigmoid Function_37_112,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58275fd0>>
Sigmoid Function_37_113,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58320490>>
Sigmoid Function_37_114,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58320340>>
Sigmoid Function_37_115,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2676d5e0>>
Sigmoid Function_37_116,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc41b7400>>
Sigmoid Function_37_117,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc41b7490>>
Sigmoid Function_37_118,-cos(x + 2),tensor(0.2594),-7.150941959508687
Sigmoid Function_37_119,tanh(4*x),tensor(0.1317),-42.44013745961584
Sigmoid Function_37_120,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe40b9310>>
Sigmoid Function_37_121,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e0f2af0>>
Sigmoid Function_37_122,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f266e6940>>
Sigmoid Function_37_123,-3*x**3*sin(x),tensor(0.1009),-78.38544103824887
Sigmoid Function_37_124,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58147280>>
Sigmoid Function_37_125,8*log(x),tensor(0.),0
Sigmoid Function_37_126,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f5839edc0>>
Sigmoid Function_37_127,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa4159250>>
Sigmoid Function_38_0,x**2/4,tensor(0.2468),-8.318618098030036
Sigmoid Function_38_1,x - 4*sin(x),tensor(0.0757),-148.11760435798493
Sigmoid Function_38_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f582dd3a0>>
Sigmoid Function_38_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f582dd2e0>>
Sigmoid Function_38_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f580703d0>>
Sigmoid Function_38_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc40ade80>>
Sigmoid Function_38_6,(1 - x**2)**2,tensor(0.2812),-5.534327210681852
Sigmoid Function_38_7,x + sin(x - 1),tensor(0.0875),-107.81389262630914
Sigmoid Function_38_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f840729d0>>
Sigmoid Function_38_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc40dbb80>>
Sigmoid Function_38_10,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe406afa0>>
Sigmoid Function_38_11,3*x*acos(x),tensor(0.0377),-652.1279425889161
Sigmoid Function_38_12,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa4110100>>
Sigmoid Function_38_13,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f580734c0>>
Sigmoid Function_38_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f640abd30>>
Sigmoid Function_38_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58207580>>
Sigmoid Function_38_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f266abfa0>>
Sigmoid Function_38_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58147490>>
Sigmoid Function_38_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f581476a0>>
Sigmoid Function_38_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58147c40>>
Sigmoid Function_38_20,-cos(x - 1),tensor(0.1159),-57.139909869002445
Sigmoid Function_38_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58275be0>>
Sigmoid Function_38_22,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f582758b0>>
Sigmoid Function_38_23,3*x**5/5,tensor(0.2156),-12.23499490091494
Sigmoid Function_38_24,2*x + sinh(x),tensor(0.0718),-166.28201970975456
Sigmoid Function_38_25,x*(x**2 + 9*x),tensor(0.0362),-707.8139853187047
Sigmoid Function_38_26,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f583bb1f0>>
Sigmoid Function_38_27,-2*x**2 + 2*x,tensor(0.0721),-164.56546038143665
Sigmoid Function_38_28,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f6404b5b0>>
Sigmoid Function_38_29,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f840b8eb0>>
Sigmoid Function_38_30,2*x - log(cos(x)),tensor(0.1123),-61.542754617488875
Sigmoid Function_38_31,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe40d26a0>>
Sigmoid Function_38_32,cos(x + 1),tensor(0.1934),-16.39111236494321
Sigmoid Function_38_33,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f581f9910>>
Sigmoid Function_38_34,-tan(x + 5),tensor(0.0015),-428705.1081456124
Sigmoid Function_38_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e0f2160>>
Sigmoid Function_38_36,x**2*atan(x),tensor(0.2028),-14.445200266800034
Sigmoid Function_38_37,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f265cbf40>>
Sigmoid Function_38_38,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f265cba90>>
Sigmoid Function_38_39,4*x + sin(x),tensor(0.0469),-412.5132888792199
Sigmoid Function_38_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f581dfa00>>
Sigmoid Function_38_41,x**2 + 2*x,tensor(0.1153),-57.92937329791295
Sigmoid Function_38_42,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe4168eb0>>
Sigmoid Function_38_43,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc41d4d60>>
Sigmoid Function_38_44,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f265cb5e0>>
Sigmoid Function_38_45,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc41d4520>>
Sigmoid Function_38_46,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc41d47f0>>
Sigmoid Function_38_47,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f265cb1c0>>
Sigmoid Function_38_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f265a00a0>>
Sigmoid Function_38_49,0,tensor(0.),0
Sigmoid Function_38_50,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f581f9610>>
Sigmoid Function_38_51,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f581f9340>>
Sigmoid Function_38_52,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe4168670>>
Sigmoid Function_38_53,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe4168190>>
Sigmoid Function_38_54,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe41684c0>>
Sigmoid Function_38_55,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe4168d00>>
Sigmoid Function_38_56,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe4168370>>
Sigmoid Function_38_57,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe4168040>>
Sigmoid Function_38_58,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e0f2790>>
Sigmoid Function_38_59,x**2/16,tensor(0.2251),-10.848110063151676
Sigmoid Function_38_60,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f0625c6a0>>
Sigmoid Function_38_61,2*x - log(cos(x)),tensor(0.1123),-61.542754617488875
Sigmoid Function_38_62,x**3*(sqrt(x) + x),tensor(0.),0
Sigmoid Function_38_63,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e14cc40>>
Sigmoid Function_38_64,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f5839ee50>>
Sigmoid Function_38_65,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58192130>>
Sigmoid Function_38_66,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa4116b20>>
Sigmoid Function_38_67,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa4116520>>
Sigmoid Function_38_68,-x + tanh(x),tensor(0.2100),-13.16045944418055
Sigmoid Function_38_69,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f26540940>>
Sigmoid Function_38_70,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f840b8910>>
Sigmoid Function_38_71,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f585f17f0>>
Sigmoid Function_38_72,(x + 2)/x,tensor(0.0048),-42888.29977391508
Sigmoid Function_38_73,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa40cd0a0>>
Sigmoid Function_38_74,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe41c9b20>>
Sigmoid Function_38_75,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f582079d0>>
Sigmoid Function_38_76,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e1e8c10>>
Sigmoid Function_38_77,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e1e8fd0>>
Sigmoid Function_38_78,4*asin(x),tensor(0.0486),-381.4591141807849
Sigmoid Function_38_79,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa4116460>>
Sigmoid Function_38_80,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f584f7310>>
Sigmoid Function_38_81,2*x + atanh(x),tensor(0.0646),-208.42998016665905
Sigmoid Function_38_82,tan(2*x + 1),tensor(0.0248),-1550.191582294585
Sigmoid Function_38_83,3*x - log(cos(x)),tensor(0.0770),-142.69444024344708
Sigmoid Function_38_84,-2*x - sin(x),tensor(0.0696),-177.70794192985255
Sigmoid Function_38_85,x**6/26,tensor(0.2199),-11.591172079343789
Sigmoid Function_38_86,x*(2*x + 1),tensor(0.1630),-25.371427614138224
Sigmoid Function_38_87,x**2*sin(x),tensor(0.2001),-14.984143573519127
Sigmoid Function_38_88,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f64097430>>
Sigmoid Function_38_89,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f64097b80>>
Sigmoid Function_38_90,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f265a0ac0>>
Sigmoid Function_38_91,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f265a03a0>>
Sigmoid Function_38_92,sinh(3*x + 3),tensor(0.0026),-150773.966088337
Sigmoid Function_38_93,2*x**2 + exp(x),tensor(0.0812),-126.90306401981897
Sigmoid Function_38_94,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f5845ef10>>
Sigmoid Function_38_95,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58073070>>
Sigmoid Function_38_96,log(x**2 + exp(x)),tensor(0.2646),-6.725975364587667
Sigmoid Function_38_97,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc40db550>>
Sigmoid Function_38_98,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa4072610>>
Sigmoid Function_38_99,2*x**2*(x + 1),tensor(0.1445),-34.06464169123474
Sigmoid Function_38_100,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f640fab80>>
Sigmoid Function_38_101,x + 4,tensor(0.0389),-608.7007700239903
Sigmoid Function_38_102,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f263634f0>>
Sigmoid Function_38_103,16*x**3,tensor(0.0224),-1905.3685080046735
Sigmoid Function_38_104,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f585b8610>>
Sigmoid Function_38_105,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa4147eb0>>
Sigmoid Function_38_106,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc41c4b80>>
Sigmoid Function_38_107,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa41163d0>>
Sigmoid Function_38_108,-log(cos(x)),tensor(0.2751),-5.9441376315357
Sigmoid Function_38_109,x**2 + 26,tensor(0.0054),-33620.37865669611
Sigmoid Function_38_110,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58147a30>>
Sigmoid Function_38_111,x**2 - 1,tensor(0.1066),-69.2192761156668
Sigmoid Function_38_112,sin(3*x + 2)/2,tensor(0.1842),-18.606931639897223
Sigmoid Function_38_113,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f583209a0>>
Sigmoid Function_38_114,2*x*(x + 2),tensor(0.0592),-251.73699572674482
Sigmoid Function_38_115,x**2/2 + sin(x),tensor(0.2058),-13.892267033625991
Sigmoid Function_38_116,0,tensor(0.),0
Sigmoid Function_38_117,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa4132a00>>
Sigmoid Function_38_118,x*(4 - x),tensor(0.0530),-318.0213236771794
Sigmoid Function_38_119,x**2 - sin(x),tensor(0.1548),-28.79626654948669
Sigmoid Function_38_120,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f84109d00>>
Sigmoid Function_38_121,-x**2 + 2*x,tensor(0.0876),-107.58292070712163
Sigmoid Function_38_122,x**2*asinh(x),tensor(0.1987),-15.265469659323823
Sigmoid Function_38_123,x**2*(x + 3),tensor(0.1189),-53.922207157119175
Sigmoid Function_38_124,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f84109b50>>
Sigmoid Function_38_125,4*x**3 + x,tensor(0.0632),-219.05049788865583
Sigmoid Function_38_126,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f581f96d0>>
Sigmoid Function_38_127,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe41f4190>>
Sigmoid Function_39_0,x*sin(x + 5),tensor(0.1747),-21.332393435478497
Sigmoid Function_39_1,x + cos(x) + 1,tensor(0.0931),-93.94229936723875
Sigmoid Function_39_2,4*exp(3*x),tensor(0.0065),-23445.494446678626
Sigmoid Function_39_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f5839ef10>>
Sigmoid Function_39_4,x + log(log(6)),tensor(0.2377),-9.286725321526562
Sigmoid Function_39_5,sqrt(2)*Abs(x),tensor(0.2174),-11.961157243632535
Sigmoid Function_39_6,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe4040b80>>
Sigmoid Function_39_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc4038610>>
Sigmoid Function_39_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc41d4a90>>
Sigmoid Function_39_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa4147ac0>>
Sigmoid Function_39_10,sinh(x)**2,tensor(0.2454),-8.457789391487815
Sigmoid Function_39_11,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58590ac0>>
Sigmoid Function_39_12,2*x**4 + x,tensor(0.1735),-21.69148712781761
