Exponential Decay with Sine_0_0,x + tan(x),tensor(0.7070),0.8281807797665881
Exponential Decay with Sine_37_125,5*x**2,tensor(0.3852),-1.5464866866464368
Exponential Decay with Sine_37_126,2*x**2 + x,tensor(0.5152),0.11443502673094652
Exponential Decay with Sine_37_127,x*(x + 3) + x,tensor(0.7296),0.8626709725863282
Exponential Decay with Sine_38_0,x**2/2 + exp(x),tensor(0.4842),-0.13515770649823455
Exponential Decay with Sine_38_1,(x**2 + 7)*cos(x),tensor(0.2407),-8.956290135973637
Exponential Decay with Sine_38_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f692804a190>>
Exponential Decay with Sine_38_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699815a0a0>>
Exponential Decay with Sine_38_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998377c70>>
Exponential Decay with Sine_38_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699013b7f0>>
Exponential Decay with Sine_38_6,x**2*tan(3)/2,tensor(0.4980),-0.016246442415498663
Exponential Decay with Sine_38_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6928140730>>
Exponential Decay with Sine_38_8,2*x**2 + sin(x),tensor(0.5097),0.07493798473406466
Exponential Decay with Sine_38_9,-cos(x),tensor(0.4905),-0.07895525769648248
Exponential Decay with Sine_38_10,-2*x,tensor(0.3922),-1.4013657646885078
Exponential Decay with Sine_38_11,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69982b4be0>>
Exponential Decay with Sine_38_12,x**3*(x**2 + x),tensor(0.5140),0.10608159541645323
Exponential Decay with Sine_38_13,log(4*x),tensor(0.),0
Exponential Decay with Sine_38_14,x**2 + 5*x,tensor(0.6654),0.7471104072342414
Exponential Decay with Sine_38_15,cos(2*x),tensor(0.4864),-0.11460697111895546
Exponential Decay with Sine_38_16,x**2 + 4,tensor(0.2944),-4.741636087225104
Exponential Decay with Sine_38_17,sin(x),tensor(0.5652),0.4084067057877575
Exponential Decay with Sine_38_18,sinh(2*x),tensor(0.7722),0.9129311006989781
Exponential Decay with Sine_38_19,sinh(x)**2,tensor(0.4776),-0.1966403859671979
Exponential Decay with Sine_38_20,x*(x + 2),tensor(0.6289),0.6516632473951229
Exponential Decay with Sine_38_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69280b0c70>>
Exponential Decay with Sine_38_22,-x**2,tensor(0.5020),0.01607137452525731
Exponential Decay with Sine_38_23,x**2 + x + 5,tensor(0.2681),-6.452986254592045
Exponential Decay with Sine_38_24,x + sin(x) + 2,tensor(0.4614),-0.3623551116536179
Exponential Decay with Sine_38_25,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699016f190>>
Exponential Decay with Sine_38_26,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69280b08b0>>
Exponential Decay with Sine_38_27,(x + cos(x))/x,tensor(0.0759),-147.20283743227938
Exponential Decay with Sine_38_28,2*x + asin(x),tensor(0.8238),0.9542652230986778
Exponential Decay with Sine_38_29,2*x + tan(x),tensor(0.8335),0.9600898308053784
Exponential Decay with Sine_38_30,x*(cos(x) + 5),tensor(0.6359),0.6721300849408148
Exponential Decay with Sine_38_31,x**2 + 4*x,tensor(0.7296),0.8626709725863282
Exponential Decay with Sine_38_32,x**2 + x + 1,tensor(0.4807),-0.16719571798155886
Exponential Decay with Sine_38_33,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6990075340>>
Exponential Decay with Sine_38_34,asin(x + 1),tensor(0.),0
Exponential Decay with Sine_38_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6930143a90>>
Exponential Decay with Sine_38_36,sin(x + 4),tensor(0.4598),-0.38011598083784404
Exponential Decay with Sine_38_37,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6928138e20>>
Exponential Decay with Sine_38_38,2*log(2*x),tensor(0.),0
Exponential Decay with Sine_38_39,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69301903d0>>
Exponential Decay with Sine_38_40,log(x + 4),tensor(0.4509),-0.4826950744613301
Exponential Decay with Sine_38_41,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f8125b50>>
Exponential Decay with Sine_38_42,x**4 + 3,tensor(0.3413),-2.7252462062922467
Exponential Decay with Sine_38_43,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc0a2100>>
Exponential Decay with Sine_38_44,sinh(2*x),tensor(0.7722),0.9129311006989781
Exponential Decay with Sine_38_45,x**2*asin(x),tensor(0.5482),0.3206602484261356
Exponential Decay with Sine_38_46,3*log(x),tensor(0.),0
Exponential Decay with Sine_38_47,5*x/4,tensor(0.5961),0.5409118250410121
Exponential Decay with Sine_38_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69280b4af0>>
Exponential Decay with Sine_38_49,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69280b4310>>
Exponential Decay with Sine_38_50,x**2 + x + 3,tensor(0.3501),-2.4467654188314167
Exponential Decay with Sine_38_51,sqrt(x)/2,tensor(0.),0
Exponential Decay with Sine_38_52,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f804daf0>>
Exponential Decay with Sine_38_53,x*(2*x + 5),tensor(0.6005),0.5575502839732549
Exponential Decay with Sine_38_54,x*sin(3) + x,tensor(0.5860),0.501044264637319
Exponential Decay with Sine_38_55,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69981fb1f0>>
Exponential Decay with Sine_38_56,x*(x + 26),tensor(0.1416),-35.72358336910375
Exponential Decay with Sine_38_57,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699836e250>>
Exponential Decay with Sine_38_58,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc466910>>
Exponential Decay with Sine_38_59,x**2 + 2*x,tensor(0.6289),0.6516632473951229
Exponential Decay with Sine_38_60,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc103670>>
Exponential Decay with Sine_38_61,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699815ad30>>
Exponential Decay with Sine_38_62,2*x + 2,tensor(0.4638),-0.33660272711429995
Exponential Decay with Sine_38_63,-x**3 + x,tensor(0.5251),0.18182690740100194
Exponential Decay with Sine_38_64,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980b3b80>>
Exponential Decay with Sine_38_65,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69982b4a60>>
Exponential Decay with Sine_38_66,x**2 - cos(x),tensor(0.4880),-0.1004562138494034
Exponential Decay with Sine_38_67,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6930102340>>
Exponential Decay with Sine_38_68,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69301ec2b0>>
Exponential Decay with Sine_38_69,2*x + exp(x),tensor(0.5854),0.49841393912186527
Exponential Decay with Sine_38_70,tan(x)**3,tensor(0.5951),0.5369982967853721
Exponential Decay with Sine_38_71,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69280b4220>>
Exponential Decay with Sine_38_72,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b27c6790>>
Exponential Decay with Sine_38_73,5/sqrt(x),tensor(0.),0
Exponential Decay with Sine_38_74,x**2 - x,tensor(0.4291),-0.7701704801301319
Exponential Decay with Sine_38_75,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6958142220>>
Exponential Decay with Sine_38_76,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f818c8e0>>
Exponential Decay with Sine_38_77,x + 2,tensor(0.4359),-0.6747195992103512
Exponential Decay with Sine_38_78,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980c4160>>
Exponential Decay with Sine_38_79,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699822d160>>
Exponential Decay with Sine_38_80,x*(2*x + log(x)),tensor(0.),0
Exponential Decay with Sine_38_81,x*(2 - x),tensor(0.6886),0.7954844340504028
Exponential Decay with Sine_38_82,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69281c0df0>>
Exponential Decay with Sine_38_83,x*(x + 1) + x,tensor(0.6289),0.6516632473951229
Exponential Decay with Sine_38_84,2*tan(x),tensor(0.7374),0.8732033451766807
Exponential Decay with Sine_38_85,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69982f1cd0>>
Exponential Decay with Sine_38_86,x*(x + cos(x) + 2),tensor(0.6889),0.7960782150028498
Exponential Decay with Sine_38_87,sinh(x + 4),tensor(0.0568),-274.25491882538455
Exponential Decay with Sine_38_88,-3*cos(3*x),tensor(0.4027),-1.200278110943767
Exponential Decay with Sine_38_89,5*x + exp(x),tensor(0.5165),0.12340649995698372
Exponential Decay with Sine_38_90,x + cos(x + 2),tensor(0.5112),0.08562632023581673
Exponential Decay with Sine_38_91,-x - 2/x,tensor(0.0393),-597.5058025844866
Exponential Decay with Sine_38_92,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f692813ba00>>
Exponential Decay with Sine_38_93,sqrt(3)*x**4,tensor(0.4779),-0.19373271152233906
Exponential Decay with Sine_38_94,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e016cf10>>
Exponential Decay with Sine_38_95,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e002cb20>>
Exponential Decay with Sine_38_96,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998142d00>>
Exponential Decay with Sine_38_97,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f693013fee0>>
Exponential Decay with Sine_38_98,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f693013f190>>
Exponential Decay with Sine_38_99,x**2,tensor(0.4827),-0.14884961898992066
Exponential Decay with Sine_38_100,x + tan(2),tensor(0.4671),-0.3016417663541928
Exponential Decay with Sine_38_101,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e018cac0>>
Exponential Decay with Sine_38_102,x**2 + atan(x),tensor(0.5386),0.2663394877596713
Exponential Decay with Sine_38_103,-exp(-x),tensor(0.5535),0.34900558035204887
Exponential Decay with Sine_38_104,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69280c0340>>
Exponential Decay with Sine_38_105,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699013b3a0>>
Exponential Decay with Sine_38_106,2*x*atanh(x),tensor(0.4286),-0.7772690127048476
Exponential Decay with Sine_38_107,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc466460>>
Exponential Decay with Sine_38_108,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980c43a0>>
Exponential Decay with Sine_38_109,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69280ad460>>
Exponential Decay with Sine_38_110,2*x + 3,tensor(0.3857),-1.5364309174707484
Exponential Decay with Sine_38_111,x**4/2,tensor(0.4931),-0.0565435021208609
Exponential Decay with Sine_38_112,5*tanh(x),tensor(0.8248),0.954856670426624
Exponential Decay with Sine_38_113,x*sin(x) + x,tensor(0.5524),0.34321116687488906
Exponential Decay with Sine_38_114,x,tensor(0.5735),0.44677196358720206
Exponential Decay with Sine_38_115,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2f7e0d0>>
Exponential Decay with Sine_38_116,x**2 + 5*x,tensor(0.6654),0.7471104072342414
Exponential Decay with Sine_38_117,10*x**3/9,tensor(0.5440),0.2972509349271327
Exponential Decay with Sine_38_118,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69580756d0>>
Exponential Decay with Sine_38_119,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699815ab20>>
Exponential Decay with Sine_38_120,6/x,tensor(0.0135),-5324.509327108347
Exponential Decay with Sine_38_121,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69281c0400>>
Exponential Decay with Sine_38_122,-atanh(x)/2,tensor(0.4527),-0.46160552742752725
Exponential Decay with Sine_38_123,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc66e3a0>>
Exponential Decay with Sine_38_124,4*x**2 + 4*x,tensor(0.5014),0.01121697750190509
Exponential Decay with Sine_38_125,x + cos(x + 2),tensor(0.5112),0.08562632023581673
Exponential Decay with Sine_38_126,x*(x + sin(x)),tensor(0.4639),-0.33596875395915715
Exponential Decay with Sine_38_127,2*x**4*acos(x),tensor(0.4052),-1.1540684534531986
Exponential Decay with Sine_39_0,x*sin(1),tensor(0.5599),0.38230404853577227
Exponential Decay with Sine_39_1,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6928140a60>>
Exponential Decay with Sine_39_2,x + tanh(x),tensor(0.6573),0.7281516712140732
Exponential Decay with Sine_39_3,x*cos(x + 6),tensor(0.5436),0.2949349061268619
Exponential Decay with Sine_39_4,x*(x + cos(5)),tensor(0.5001),0.000563814707530419
Exponential Decay with Sine_39_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc66edf0>>
Exponential Decay with Sine_39_6,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e0017160>>
Exponential Decay with Sine_39_7,sin(x + 3),tensor(0.4427),-0.5842267343480474
Exponential Decay with Sine_39_8,cos(x)**2,tensor(0.4754),-0.2172671662671377
Exponential Decay with Sine_39_9,-x**2/2 + x,tensor(0.5797),0.4742418706853202
Exponential Decay with Sine_39_10,sinh(1)/x,tensor(0.0655),-202.7321791121756
Exponential Decay with Sine_39_11,x + tan(x) + 2,tensor(0.4700),-0.2716041288585589
Exponential Decay with Sine_39_12,x + sin(4),tensor(0.5679),0.4208448649880079
Exponential Decay with Sine_39_13,-exp(x) + sin(x),tensor(0.4716),-0.2552091263478573
Exponential Decay with Sine_39_14,-3/(2*x**2),tensor(0.0002),-19812438.99141167
Exponential Decay with Sine_39_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc15e1c0>>
Exponential Decay with Sine_39_16,9*x + exp(x),tensor(0.3503),-2.4398714131079595
Exponential Decay with Sine_39_17,x*(x**2 + x),tensor(0.5196),0.14541878455068225
Exponential Decay with Sine_39_18,log(x + 5),tensor(0.4350),-0.6867374565430449
Exponential Decay with Sine_39_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998142160>>
Exponential Decay with Sine_39_20,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f80651c0>>
Exponential Decay with Sine_39_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699822db20>>
Exponential Decay with Sine_39_22,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69981df490>>
Exponential Decay with Sine_39_23,x + sinh(x),tensor(0.6868),0.7920321330397055
Exponential Decay with Sine_39_24,x**5/5,tensor(0.5029),0.022694160016839104
Exponential Decay with Sine_39_25,5*x*sinh(x),tensor(0.3705),-1.8878139121716622
Exponential Decay with Sine_39_26,-1/(x - 1),tensor(0.0366),-690.8776862685947
Exponential Decay with Sine_39_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e0054e50>>
Exponential Decay with Sine_39_28,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f692808e580>>
Exponential Decay with Sine_39_29,x - log(cos(x)),tensor(0.5610),0.38774140230898413
Exponential Decay with Sine_39_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699016ffa0>>
Exponential Decay with Sine_39_31,x*(x + 5),tensor(0.6654),0.7471104072342414
Exponential Decay with Sine_39_32,atan(x),tensor(0.5612),0.3888504200641939
Exponential Decay with Sine_39_33,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69983b4e50>>
Exponential Decay with Sine_39_34,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc6d5c70>>
Exponential Decay with Sine_39_35,4*x*cos(x),tensor(0.7799),0.9203955052972136
Exponential Decay with Sine_39_36,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69281c0730>>
Exponential Decay with Sine_39_37,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f692817c340>>
Exponential Decay with Sine_39_38,x*sinh(2),tensor(0.8655),0.9758558436338846
Exponential Decay with Sine_39_39,sin(x) - cos(x),tensor(0.5529),0.34601601736311927
Exponential Decay with Sine_39_40,x*exp(x) + 2*x,tensor(0.7102),0.8335504218427228
Exponential Decay with Sine_39_41,x*(x + x*tan(1)),tensor(0.4475),-0.5237718035633843
Exponential Decay with Sine_39_42,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc1ce850>>
Exponential Decay with Sine_39_43,x/4,tensor(0.5144),0.10908627223884992
Exponential Decay with Sine_39_44,-x**2 + x,tensor(0.5809),0.47946604693705985
Exponential Decay with Sine_39_45,x + tan(x) + 1,tensor(0.5844),0.494119717317861
Exponential Decay with Sine_39_46,x,tensor(0.5735),0.44677196358720206
Exponential Decay with Sine_39_47,1/(x**2*cos(x)),tensor(0.0003),-8805675.914090935
Exponential Decay with Sine_39_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69281b6ee0>>
Exponential Decay with Sine_39_49,-x/5,tensor(0.4844),-0.13331673960074575
Exponential Decay with Sine_39_50,-2*x**2 + x,tensor(0.5683),0.42317720690140426
Exponential Decay with Sine_39_51,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f692817c7c0>>
Exponential Decay with Sine_39_52,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e018cb50>>
Exponential Decay with Sine_39_53,-x*cosh(2*x),tensor(0.3706),-1.8842688870545476
Exponential Decay with Sine_39_54,x*(-x**2 + x),tensor(0.4490),-0.5063020428321114
Exponential Decay with Sine_39_55,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69982b4e80>>
Exponential Decay with Sine_39_56,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69900f0970>>
Exponential Decay with Sine_39_57,x*(x + sin(x)),tensor(0.4639),-0.33596875395915715
Exponential Decay with Sine_39_58,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69981fbd30>>
Exponential Decay with Sine_39_59,x**2 + x + 3,tensor(0.3501),-2.4467654188314167
Exponential Decay with Sine_39_60,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6930187c70>>
Exponential Decay with Sine_39_61,sin(6*x),tensor(0.4560),-0.42313877073140205
Exponential Decay with Sine_39_62,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69981c3b50>>
Exponential Decay with Sine_39_63,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998300340>>
Exponential Decay with Sine_39_64,4/(x - 4),tensor(0.4723),-0.24816901672541558
Exponential Decay with Sine_39_65,exp(x) + sin(x),tensor(0.5454),0.3052157723333334
Exponential Decay with Sine_39_66,2*x*cosh(x),tensor(0.7469),0.8851327191472226
Exponential Decay with Sine_39_67,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc15f490>>
Exponential Decay with Sine_39_68,x/(x + 2),tensor(0.5431),0.2923073126700956
Exponential Decay with Sine_39_69,cos(4*x),tensor(0.4956),-0.036163057333174375
Exponential Decay with Sine_39_70,x**2/2 + sin(x),tensor(0.5552),0.3584081217939018
Exponential Decay with Sine_39_71,x + sin(x)*cos(x),tensor(0.6365),0.6739545555956961
Exponential Decay with Sine_39_72,3*x + atan(x),tensor(0.8626),0.974642395420841
Exponential Decay with Sine_39_73,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69280b0640>>
Exponential Decay with Sine_39_74,x + asin(x),tensor(0.6944),0.8062330469794501
Exponential Decay with Sine_39_75,x**2 + 6*x,tensor(0.5820),0.4841735565836951
Exponential Decay with Sine_39_76,(4 - x)/x,tensor(0.0202),-2363.423021812033
Exponential Decay with Sine_39_77,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69982b4d90>>
Exponential Decay with Sine_39_78,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998142040>>
Exponential Decay with Sine_39_79,5*x + sin(x),tensor(0.6164),0.6126779595110821
Exponential Decay with Sine_39_80,sqrt(x) + x,tensor(0.),0
Exponential Decay with Sine_39_81,4*x**5,tensor(0.6046),0.5721981912749855
Exponential Decay with Sine_39_82,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f8065220>>
Exponential Decay with Sine_39_83,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6930187640>>
Exponential Decay with Sine_39_84,-x**2/2 + 6*x,tensor(0.6107),0.5937583325548756
Exponential Decay with Sine_39_85,sqrt(x + 2),tensor(0.4542),-0.4443135491111738
Exponential Decay with Sine_39_86,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69983b4d30>>
Exponential Decay with Sine_39_87,x**2*exp(x) + x,tensor(0.5816),0.4826002606613514
Exponential Decay with Sine_39_88,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6928138400>>
Exponential Decay with Sine_39_89,x*(x**2 + x),tensor(0.5196),0.14541878455068225
Exponential Decay with Sine_39_90,x + sin(x),tensor(0.6640),0.7440135271293415
Exponential Decay with Sine_39_91,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc73dd30>>
Exponential Decay with Sine_39_92,x/10,tensor(0.5040),0.03160123471153331
Exponential Decay with Sine_39_93,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6958099640>>
Exponential Decay with Sine_39_94,2*log(asinh(x)),tensor(0.),0
Exponential Decay with Sine_39_95,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69281b6f70>>
Exponential Decay with Sine_39_96,-x**2 + 4*x,tensor(0.8922),0.9853923523817102
Exponential Decay with Sine_39_97,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2f7e250>>
Exponential Decay with Sine_39_98,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69280ee9d0>>
Exponential Decay with Sine_39_99,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2f7ed90>>
Exponential Decay with Sine_39_100,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2f7e6a0>>
Exponential Decay with Sine_39_101,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2f7eac0>>
Exponential Decay with Sine_39_102,-x/2,tensor(0.4662),-0.3114985795898857
Exponential Decay with Sine_39_103,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69983b4fd0>>
Exponential Decay with Sine_39_104,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69300d2970>>
Exponential Decay with Sine_39_105,x**2*tan(5),tensor(0.4720),-0.25158187504473584
Exponential Decay with Sine_39_106,x**2 + x,tensor(0.5490),0.3250949568518309
Exponential Decay with Sine_39_107,x*(x + cos(x)),tensor(0.5289),0.20646735321265575
Exponential Decay with Sine_39_108,2*exp(-x),tensor(0.3276),-3.2133239458774945
Exponential Decay with Sine_39_109,x*(x**5 + x),tensor(0.4714),-0.2570855663509999
Exponential Decay with Sine_39_110,x + sin(3),tensor(0.5686),0.42425751868057215
Exponential Decay with Sine_39_111,x*cos(x) - x,tensor(0.4792),-0.18079507834916275
Exponential Decay with Sine_39_112,x**2*sinh(1)/2,tensor(0.4897),-0.08571326312078265
Exponential Decay with Sine_39_113,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6928073a00>>
Exponential Decay with Sine_39_114,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6928073c70>>
Exponential Decay with Sine_39_115,x**3/3 + exp(x),tensor(0.5110),0.08454712545233356
Exponential Decay with Sine_39_116,x**4*cos(1),tensor(0.4927),-0.05986487956997233
Exponential Decay with Sine_39_117,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998135a30>>
Exponential Decay with Sine_39_118,(x + cos(x))**2,tensor(0.5306),0.21757021421916967
Exponential Decay with Sine_39_119,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69581ab280>>
Exponential Decay with Sine_39_120,6*x**2,tensor(0.3615),-2.1183532620243493
Exponential Decay with Sine_39_121,3*log(x + 2)/2,tensor(0.5048),0.037294170975826546
Exponential Decay with Sine_39_122,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699824cb20>>
Exponential Decay with Sine_39_123,x**2 + 3*x,tensor(0.7086),0.8308552526399554
Exponential Decay with Sine_39_124,x + x*exp(3),tensor(0.1746),-21.347731389919492
Exponential Decay with Sine_39_125,2*sinh(x),tensor(0.6987),0.8141034966921383
Exponential Decay with Sine_39_126,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e016c9a0>>
Exponential Decay with Sine_39_127,cos(x),tensor(0.4696),-0.27612814200907176
Exponential Decay with Sine_40_0,x**2*tan(3),tensor(0.4986),-0.011047246796252352
Exponential Decay with Sine_40_1,5*tanh(x),tensor(0.8248),0.954856670426624
Exponential Decay with Sine_40_2,2*exp(x),tensor(0.4325),-0.7218341609048202
Exponential Decay with Sine_40_3,2*x*(x + tan(x)),tensor(0.3928),-1.3890730757221381
Exponential Decay with Sine_40_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f692804a520>>
Exponential Decay with Sine_40_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699837e670>>
Exponential Decay with Sine_40_6,(x + 1)**4,tensor(0.3263),-3.264334028095477
Exponential Decay with Sine_40_7,log(x + 1),tensor(0.6192),0.6219427007507445
Exponential Decay with Sine_40_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc758490>>
Exponential Decay with Sine_40_9,x + 1,tensor(0.5134),0.1018575740522718
Exponential Decay with Sine_40_10,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69300bb7c0>>
Exponential Decay with Sine_40_11,6*x**3,tensor(0.6782),0.7748057905573501
Exponential Decay with Sine_40_12,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc466eb0>>
Exponential Decay with Sine_40_13,x**2*(-x + exp(x)),tensor(0.4793),-0.18054114988627634
Exponential Decay with Sine_40_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998249eb0>>
Exponential Decay with Sine_40_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e0087a30>>
Exponential Decay with Sine_40_16,cos(x),tensor(0.4696),-0.27612814200907176
Exponential Decay with Sine_40_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f692813b070>>
Exponential Decay with Sine_40_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69900d0bb0>>
Exponential Decay with Sine_40_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f80a8d90>>
