Polynomial with Complex Roots_0_0,x**3 + 2*x**2 + x,tensor(0.2444),-8.554996892948866
Polynomial with Complex Roots_23_41,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0b89a0>>
Polynomial with Complex Roots_23_42,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0b8640>>
Polynomial with Complex Roots_23_43,2*x + sinh(x),tensor(0.2206),-11.489264098618516
Polynomial with Complex Roots_23_44,sin(x + 3),tensor(0.2159),-12.182781394989638
Polynomial with Complex Roots_23_45,x**2/cos(1),tensor(0.2368),-9.384213592735447
Polynomial with Complex Roots_23_46,sin(x) - cos(x),tensor(0.1978),-15.44317099293552
Polynomial with Complex Roots_23_47,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc079af0>>
Polynomial with Complex Roots_23_48,-x**2 + 4*x,tensor(0.2080),-13.496097593159318
Polynomial with Complex Roots_23_49,x + cos(x) + 1,tensor(0.2889),-5.056303854407467
Polynomial with Complex Roots_23_50,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c137be0>>
Polynomial with Complex Roots_23_51,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5aa012b2e0>>
Polynomial with Complex Roots_23_52,-x + log(cos(x)),tensor(0.2070),-13.680619370261011
Polynomial with Complex Roots_23_53,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c0a28b0>>
Polynomial with Complex Roots_23_54,sqrt(3)*x**2,tensor(0.2355),-9.53922311401833
Polynomial with Complex Roots_23_55,exp(4*x + 4),tensor(0.0022),-201587.9143358614
Polynomial with Complex Roots_23_56,2*x**3/9,tensor(0.2173),-11.97243441513884
Polynomial with Complex Roots_23_57,3*x + 24,tensor(0.0813),-126.55396205885079
Polynomial with Complex Roots_23_58,-x + sinh(x),tensor(0.2172),-11.989400518287082
Polynomial with Complex Roots_23_59,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc1273a0>>
Polynomial with Complex Roots_23_60,x*asin(x),tensor(0.2293),-10.290952716011256
Polynomial with Complex Roots_23_61,sin(4*x),tensor(0.2167),-12.06780785615916
Polynomial with Complex Roots_23_62,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0ecbb0>>
Polynomial with Complex Roots_23_63,sqrt(2)*x**3,tensor(0.2195),-11.645008521442058
Polynomial with Complex Roots_23_64,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1d9820>>
Polynomial with Complex Roots_23_65,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c1564c0>>
Polynomial with Complex Roots_23_66,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc083f10>>
Polynomial with Complex Roots_23_67,26*x**2,tensor(0.1673),-23.76911784977472
Polynomial with Complex Roots_23_68,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc1aa940>>
Polynomial with Complex Roots_23_69,x**2 - cos(x),tensor(0.2044),-14.158875542080514
Polynomial with Complex Roots_23_70,4/x**4,tensor(6.9183e-10),-2.089288049996956e+18
Polynomial with Complex Roots_23_71,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c09ce80>>
Polynomial with Complex Roots_23_72,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c1bdc40>>
Polynomial with Complex Roots_23_73,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c03c520>>
Polynomial with Complex Roots_23_74,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c03cd00>>
Polynomial with Complex Roots_23_75,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc13e7f0>>
Polynomial with Complex Roots_23_76,x**3 + 3,tensor(0.3553),-2.2935592091842105
Polynomial with Complex Roots_23_77,-cos(x) + acosh(x),tensor(0.),0
Polynomial with Complex Roots_23_78,acosh(x + 2),tensor(0.2605),-7.059610194128462
Polynomial with Complex Roots_23_79,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc03c640>>
Polynomial with Complex Roots_23_80,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc03c100>>
Polynomial with Complex Roots_23_81,x*sin(x) + 2*x,tensor(0.2315),-10.022094444128937
Polynomial with Complex Roots_23_82,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0b8a90>>
Polynomial with Complex Roots_23_83,3*x*sin(x),tensor(0.2467),-8.324573890786287
Polynomial with Complex Roots_23_84,x**2,tensor(0.2274),-10.543466318137236
Polynomial with Complex Roots_23_85,x*acos(x),tensor(0.2082),-13.467652594813678
Polynomial with Complex Roots_23_86,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c067400>>
Polynomial with Complex Roots_23_87,x**2*cosh(1),tensor(0.2334),-9.790418061768836
Polynomial with Complex Roots_23_88,x**3 + 5*x,tensor(0.2118),-12.852602142017641
Polynomial with Complex Roots_23_89,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c1719a0>>
Polynomial with Complex Roots_23_90,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc137700>>
Polynomial with Complex Roots_23_91,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c1bd2e0>>
Polynomial with Complex Roots_23_92,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c1bd880>>
Polynomial with Complex Roots_23_93,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc137fd0>>
Polynomial with Complex Roots_23_94,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5aa00f7af0>>
Polynomial with Complex Roots_23_95,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c0c5d00>>
Polynomial with Complex Roots_23_96,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0f8670>>
Polynomial with Complex Roots_23_97,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c2437f0>>
Polynomial with Complex Roots_23_98,3*x/(x + 2),tensor(0.2114),-12.917142358937129
Polynomial with Complex Roots_23_99,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc0cb760>>
Polynomial with Complex Roots_23_100,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c39f3d0>>
Polynomial with Complex Roots_23_101,2*x*sin(4),tensor(0.2095),-13.230520293130104
Polynomial with Complex Roots_23_102,2*x + 2,tensor(0.3027),-4.305152648360411
Polynomial with Complex Roots_23_103,2*log(3*x),tensor(0.),0
Polynomial with Complex Roots_23_104,-x + atanh(x),tensor(0.2185),-11.793171416132182
Polynomial with Complex Roots_23_105,-2*x**4*exp(x),tensor(0.1956),-15.905878334848847
Polynomial with Complex Roots_23_106,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c07d190>>
Polynomial with Complex Roots_23_107,x**2 + x + log(x),tensor(0.),0
Polynomial with Complex Roots_23_108,2*x**4,tensor(0.2297),-10.244545933178879
Polynomial with Complex Roots_23_109,sinh(x)**2,tensor(0.2298),-10.227335961451246
Polynomial with Complex Roots_23_110,tan(5)/x**3,tensor(2.5481e-07),-15401354325494.193
Polynomial with Complex Roots_23_111,2*x - log(cos(x)),tensor(0.2276),-10.523056190678107
Polynomial with Complex Roots_23_112,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c137730>>
Polynomial with Complex Roots_23_113,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc0e57c0>>
Polynomial with Complex Roots_23_114,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c03cbb0>>
Polynomial with Complex Roots_23_115,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5aa012b8b0>>
Polynomial with Complex Roots_23_116,x + tan(x) + 3,tensor(0.3712),-1.8694039162712541
Polynomial with Complex Roots_23_117,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c19c640>>
Polynomial with Complex Roots_23_118,x**2 + 1,tensor(0.2624),-6.903161171973299
Polynomial with Complex Roots_23_119,x*cosh(x + 3),tensor(0.1854),-18.30140823486708
Polynomial with Complex Roots_23_120,x**3*cos(1),tensor(0.2180),-11.869601259525371
Polynomial with Complex Roots_23_121,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c09c0d0>>
Polynomial with Complex Roots_23_122,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc0e55b0>>
Polynomial with Complex Roots_23_123,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc0e5be0>>
Polynomial with Complex Roots_23_124,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc0e5a60>>
Polynomial with Complex Roots_23_125,x**2*cosh(1),tensor(0.2334),-9.790418061768836
Polynomial with Complex Roots_23_126,2*x + cosh(x),tensor(0.2638),-6.788111059140798
Polynomial with Complex Roots_23_127,x + cos(5),tensor(0.2284),-10.410107541219684
Polynomial with Complex Roots_24_0,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c1f58b0>>
Polynomial with Complex Roots_24_1,2*tan(x),tensor(0.2211),-11.403811194633585
Polynomial with Complex Roots_24_2,12*x**2,tensor(0.3028),-4.300317996501978
Polynomial with Complex Roots_24_3,x**3*asin(x),tensor(0.2247),-10.908260090059596
Polynomial with Complex Roots_24_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc0e5ac0>>
Polynomial with Complex Roots_24_5,sqrt(1 - x),tensor(0.2424),-8.764622916595986
Polynomial with Complex Roots_24_6,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5ab4073100>>
Polynomial with Complex Roots_24_7,x*cos(1),tensor(0.2186),-11.773856800785868
Polynomial with Complex Roots_24_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc199610>>
Polynomial with Complex Roots_24_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc1da2e0>>
Polynomial with Complex Roots_24_10,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc1daa00>>
Polynomial with Complex Roots_24_11,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc1da8b0>>
Polynomial with Complex Roots_24_12,x**2*(x + 3),tensor(0.2535),-7.669753631232739
Polynomial with Complex Roots_24_13,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c0395e0>>
Polynomial with Complex Roots_24_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c0d55b0>>
Polynomial with Complex Roots_24_15,(x + 1)*exp(x),tensor(0.2823),-5.466172040424675
Polynomial with Complex Roots_24_16,sin(x)*acos(x),tensor(0.2093),-13.276807045512486
Polynomial with Complex Roots_24_17,3*x + sin(x),tensor(0.2188),-11.754203107754822
Polynomial with Complex Roots_24_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc1377c0>>
Polynomial with Complex Roots_24_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc038e50>>
Polynomial with Complex Roots_24_20,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c0b3880>>
Polynomial with Complex Roots_24_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c38e7f0>>
Polynomial with Complex Roots_24_22,x**2*cos(1),tensor(0.2225),-11.217000857332305
Polynomial with Complex Roots_24_23,x + (x + 1)/x,tensor(0.0577),-265.9428013921516
Polynomial with Complex Roots_24_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c26b880>>
Polynomial with Complex Roots_24_25,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c0b42e0>>
Polynomial with Complex Roots_24_26,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc1b05e0>>
Polynomial with Complex Roots_24_27,x*sqrt(x**3),tensor(0.),0
Polynomial with Complex Roots_24_28,exp(2*x) + 1,tensor(0.3612),-2.1286219963726865
Polynomial with Complex Roots_24_29,atanh(x),tensor(0.2207),-11.463499595951193
Polynomial with Complex Roots_24_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c067310>>
Polynomial with Complex Roots_24_31,cos(x + 2),tensor(0.2045),-14.126878309480585
Polynomial with Complex Roots_24_32,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c19cf70>>
Polynomial with Complex Roots_24_33,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c166400>>
Polynomial with Complex Roots_24_34,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c166df0>>
Polynomial with Complex Roots_24_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc079250>>
Polynomial with Complex Roots_24_36,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc079ee0>>
Polynomial with Complex Roots_24_37,exp(x + 3),tensor(0.0713),-168.64581864917326
Polynomial with Complex Roots_24_38,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc0797c0>>
Polynomial with Complex Roots_24_39,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc03cd30>>
Polynomial with Complex Roots_24_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc03c550>>
Polynomial with Complex Roots_24_41,x**4*(x + 1),tensor(0.2250),-10.868067203036453
Polynomial with Complex Roots_24_42,x**2*cos(1),tensor(0.2225),-11.217000857332305
Polynomial with Complex Roots_24_43,x**2*sin(1)/4,tensor(0.2190),-11.720816977469292
Polynomial with Complex Roots_24_44,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc0f9100>>
Polynomial with Complex Roots_24_45,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c123490>>
Polynomial with Complex Roots_24_46,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0b7d90>>
Polynomial with Complex Roots_24_47,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc0fed00>>
Polynomial with Complex Roots_24_48,sin(x) + atanh(x),tensor(0.2213),-11.387595523212177
Polynomial with Complex Roots_24_49,x**2*cos(sqrt(x)),tensor(0.),0
Polynomial with Complex Roots_24_50,cosh(2*x)/2,tensor(0.2465),-8.340912034087799
Polynomial with Complex Roots_24_51,x**2 + x + acosh(x),tensor(0.),0
Polynomial with Complex Roots_24_52,5*log(x),tensor(0.),0
Polynomial with Complex Roots_24_53,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc114940>>
Polynomial with Complex Roots_24_54,2*x - cos(x),tensor(0.1989),-15.225859629991916
Polynomial with Complex Roots_24_55,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c10f430>>
Polynomial with Complex Roots_24_56,x*log(2*x**2) - 2*x,tensor(0.2066),-13.740880660674412
Polynomial with Complex Roots_24_57,x*sqrt(x**3),tensor(0.),0
Polynomial with Complex Roots_24_58,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c1766a0>>
Polynomial with Complex Roots_24_59,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc0b4ee0>>
Polynomial with Complex Roots_24_60,tan(3*x + 5),tensor(0.0325),-882.6239606175783
Polynomial with Complex Roots_24_61,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c175be0>>
Polynomial with Complex Roots_24_62,x*(x + sin(x) - 1),tensor(0.2313),-10.047244667045819
Polynomial with Complex Roots_24_63,3*log(x),tensor(0.),0
Polynomial with Complex Roots_24_64,cosh(9*x),tensor(0.0017),-326532.36530846485
Polynomial with Complex Roots_24_65,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c166100>>
Polynomial with Complex Roots_24_66,x + tan(5),tensor(0.1513),-30.457782936561575
Polynomial with Complex Roots_24_67,exp(x) + atanh(x),tensor(0.2639),-6.7768500978577295
Polynomial with Complex Roots_24_68,x**6 + 4*x + sin(x),tensor(0.2198),-11.605616673206443
Polynomial with Complex Roots_24_69,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc0bfdf0>>
Polynomial with Complex Roots_24_70,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0f83a0>>
Polynomial with Complex Roots_24_71,exp(x) + asin(x),tensor(0.2640),-6.7685013684917905
Polynomial with Complex Roots_24_72,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c09c250>>
Polynomial with Complex Roots_24_73,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c03ce20>>
Polynomial with Complex Roots_24_74,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc0aae20>>
Polynomial with Complex Roots_24_75,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc114d00>>
Polynomial with Complex Roots_24_76,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc137af0>>
Polynomial with Complex Roots_24_77,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c1121f0>>
Polynomial with Complex Roots_24_78,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc079ca0>>
Polynomial with Complex Roots_24_79,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc079760>>
Polynomial with Complex Roots_24_80,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c3ab130>>
Polynomial with Complex Roots_24_81,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc05c250>>
Polynomial with Complex Roots_24_82,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0eca00>>
Polynomial with Complex Roots_24_83,3*exp(x),tensor(0.4242),-0.8427563673769773
Polynomial with Complex Roots_24_84,2*x*atanh(x),tensor(0.2484),-8.154366355499922
Polynomial with Complex Roots_24_85,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c19c1f0>>
Polynomial with Complex Roots_24_86,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c243a30>>
Polynomial with Complex Roots_24_87,x*sin(5*x),tensor(0.2122),-12.778833169710573
Polynomial with Complex Roots_24_88,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c16df40>>
Polynomial with Complex Roots_24_89,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c18a8b0>>
Polynomial with Complex Roots_24_90,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc0cb190>>
Polynomial with Complex Roots_24_91,(x - 1)/x**2,tensor(0.0003),-15504138.071003413
Polynomial with Complex Roots_24_92,0,tensor(0.),0
Polynomial with Complex Roots_24_93,x*(2*x + 1),tensor(0.2428),-8.72083689731929
Polynomial with Complex Roots_24_94,(x + sin(x))**2,tensor(0.2575),-7.318076234931906
Polynomial with Complex Roots_24_95,x*(x**3 + x**2 + x),tensor(0.2368),-9.38782444078234
Polynomial with Complex Roots_24_96,x**3*sin(4),tensor(0.2148),-12.359575617800571
Polynomial with Complex Roots_24_97,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0ec6d0>>
Polynomial with Complex Roots_24_98,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc0aa3a0>>
Polynomial with Complex Roots_24_99,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c1127c0>>
Polynomial with Complex Roots_24_100,tan(2*x),tensor(0.0054),-34552.82330032088
Polynomial with Complex Roots_24_101,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc072df0>>
Polynomial with Complex Roots_24_102,4*x**2 - 2*x,tensor(0.2429),-8.720037462721919
Polynomial with Complex Roots_24_103,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0b5c10>>
Polynomial with Complex Roots_24_104,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c16f8b0>>
Polynomial with Complex Roots_24_105,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c16f790>>
Polynomial with Complex Roots_24_106,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c16d220>>
Polynomial with Complex Roots_24_107,1/8,tensor(0.),0
Polynomial with Complex Roots_24_108,sqrt(x + 1),tensor(0.2491),-8.086334548338458
Polynomial with Complex Roots_24_109,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c0c5670>>
Polynomial with Complex Roots_24_110,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c0b4f70>>
Polynomial with Complex Roots_24_111,x**2*(x + sin(x)),tensor(0.2201),-11.558431302660448
Polynomial with Complex Roots_24_112,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c267f70>>
Polynomial with Complex Roots_24_113,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0a93d0>>
Polynomial with Complex Roots_24_114,8*Abs(x),tensor(0.3639),-2.0551921288573567
Polynomial with Complex Roots_24_115,5*x**3/3,tensor(0.2198),-11.595943974733718
Polynomial with Complex Roots_24_116,x**2*(x + sin(x)),tensor(0.2201),-11.558431302660448
Polynomial with Complex Roots_24_117,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc02db20>>
Polynomial with Complex Roots_24_118,cos(x)**3,tensor(0.2347),-9.627956403201543
Polynomial with Complex Roots_24_119,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0b8c10>>
Polynomial with Complex Roots_24_120,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0b86a0>>
Polynomial with Complex Roots_24_121,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0b8730>>
Polynomial with Complex Roots_24_122,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c2c3a00>>
Polynomial with Complex Roots_24_123,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c2c3760>>
Polynomial with Complex Roots_24_124,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c2c3340>>
Polynomial with Complex Roots_24_125,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c2c3f70>>
Polynomial with Complex Roots_24_126,sin(x + 1),tensor(0.2401),-9.020513826955034
Polynomial with Complex Roots_24_127,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0f3760>>
Polynomial with Complex Roots_25_0,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc199430>>
Polynomial with Complex Roots_25_1,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c379d30>>
Polynomial with Complex Roots_25_2,2*x*exp(x),tensor(0.2476),-8.236721893564699
Polynomial with Complex Roots_25_3,cos(log(x))/x**2,tensor(0.),0
Polynomial with Complex Roots_25_4,x + 1,tensor(0.2534),-7.683161947287273
Polynomial with Complex Roots_25_5,x**2/2 + cosh(x),tensor(0.2628),-6.872476944527206
Polynomial with Complex Roots_25_6,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c039670>>
Polynomial with Complex Roots_25_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c322ca0>>
Polynomial with Complex Roots_25_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c0b49a0>>
Polynomial with Complex Roots_25_9,exp(-x),tensor(0.2469),-8.301046536548622
Polynomial with Complex Roots_25_10,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c09c910>>
Polynomial with Complex Roots_25_11,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c2436d0>>
Polynomial with Complex Roots_25_12,x**2*cosh(5),tensor(0.0524),-325.726263391463
Polynomial with Complex Roots_25_13,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c123640>>
Polynomial with Complex Roots_25_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c348e80>>
Polynomial with Complex Roots_25_15,(x - 2/x**2)**3,tensor(3.3998e-15),-8.651564739510192e+28
Polynomial with Complex Roots_25_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c16f730>>
Polynomial with Complex Roots_25_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c16f7c0>>
Polynomial with Complex Roots_25_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c2f4550>>
Polynomial with Complex Roots_25_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c16fac0>>
Polynomial with Complex Roots_25_20,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c16f1f0>>
Polynomial with Complex Roots_25_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc137730>>
Polynomial with Complex Roots_25_22,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc079c70>>
Polynomial with Complex Roots_25_23,3*(x + 6)**3,tensor(0.0024),-176302.91309844196
Polynomial with Complex Roots_25_24,x**2*sin(x**2),tensor(0.2227),-11.185687756612227
Polynomial with Complex Roots_25_25,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc038ca0>>
Polynomial with Complex Roots_25_26,exp(x) + 3,tensor(0.4788),-0.18531408137487615
Polynomial with Complex Roots_25_27,4 - x,tensor(0.3748),-1.7834925871509575
Polynomial with Complex Roots_25_28,-4*atanh(x),tensor(0.1775),-20.463926110692626
Polynomial with Complex Roots_25_29,2*x**2 + 2*x,tensor(0.2449),-8.508498297802731
Polynomial with Complex Roots_25_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc1146d0>>
Polynomial with Complex Roots_25_31,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c2c38b0>>
Polynomial with Complex Roots_25_32,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c2c32b0>>
Polynomial with Complex Roots_25_33,4*x**2 + 1,tensor(0.3069),-4.09899500745297
Polynomial with Complex Roots_25_34,(x + 1)**4,tensor(0.3078),-4.056819460812924
Polynomial with Complex Roots_25_35,x*exp(-x),tensor(0.2087),-13.3719476655342
Polynomial with Complex Roots_25_36,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5ab40731f0>>
Polynomial with Complex Roots_25_37,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c039d90>>
Polynomial with Complex Roots_25_38,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0b8850>>
Polynomial with Complex Roots_25_39,-x + cos(2*x),tensor(0.2225),-11.207294981117652
