Square Root with Quadratic Term_0_0,x + tan(x),tensor(0.0754),-149.42550353068413
Square Root with Quadratic Term_52_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e016c670>>
Square Root with Quadratic Term_52_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6930038bb0>>
Square Root with Quadratic Term_52_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f8065a90>>
Square Root with Quadratic Term_52_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f80655b0>>
Square Root with Quadratic Term_52_20,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f80656a0>>
Square Root with Quadratic Term_52_21,x**2 + x + 5,tensor(0.0842),-117.23330693346877
Square Root with Quadratic Term_52_22,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69901af940>>
Square Root with Quadratic Term_52_23,-cos(x + 5),tensor(0.0772),-141.84376506099989
Square Root with Quadratic Term_52_24,x**2*asinh(x),tensor(0.0833),-120.17520052762566
Square Root with Quadratic Term_52_25,3*x*cos(x),tensor(0.0761),-146.37598653539786
Square Root with Quadratic Term_52_26,x + tan(x + 2),tensor(0.0031),-105054.89620349772
Square Root with Quadratic Term_52_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69581d1340>>
Square Root with Quadratic Term_52_28,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f692804ac70>>
Square Root with Quadratic Term_52_29,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc693a60>>
Square Root with Quadratic Term_52_30,x**3 + x + 2,tensor(0.1697),-22.941606243933823
Square Root with Quadratic Term_52_31,x,tensor(0.0820),-124.3759631863054
Square Root with Quadratic Term_52_32,x**2/log(2),tensor(0.0973),-85.07773553280538
Square Root with Quadratic Term_52_33,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f692813be80>>
Square Root with Quadratic Term_52_34,-x*(x + 4) + x,tensor(0.0673),-191.00013566148317
Square Root with Quadratic Term_52_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699822d0a0>>
Square Root with Quadratic Term_52_36,-x*(x + 3),tensor(0.0673),-191.00013566148317
Square Root with Quadratic Term_52_37,x*tan(x),tensor(0.0954),-88.85340380347954
Square Root with Quadratic Term_52_38,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f80d28b0>>
Square Root with Quadratic Term_52_39,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699016fdf0>>
Square Root with Quadratic Term_52_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699016fb50>>
Square Root with Quadratic Term_52_41,x**2*(x**3 + x),tensor(0.0814),-126.33062573124963
Square Root with Quadratic Term_52_42,x**2,tensor(0.0933),-93.54186415998291
Square Root with Quadratic Term_52_43,x**2 - log(cos(x)),tensor(0.0983),-83.20221700138211
Square Root with Quadratic Term_52_44,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e0025a00>>
Square Root with Quadratic Term_52_45,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69301d7ac0>>
Square Root with Quadratic Term_52_46,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69281b6340>>
Square Root with Quadratic Term_52_47,3*sinh(x),tensor(0.0688),-182.29444853482158
Square Root with Quadratic Term_52_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e010e430>>
Square Root with Quadratic Term_52_49,-x**2 + 2*x,tensor(0.0704),-173.43587954309825
Square Root with Quadratic Term_52_50,-x**3/3 + x**2,tensor(0.0932),-93.57087292853329
Square Root with Quadratic Term_52_51,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e0017f70>>
Square Root with Quadratic Term_52_52,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69280eee50>>
Square Root with Quadratic Term_52_53,x**2*sin(x) + x,tensor(0.0796),-132.84255924512473
Square Root with Quadratic Term_52_54,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980b3be0>>
Square Root with Quadratic Term_52_55,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980b37f0>>
Square Root with Quadratic Term_52_56,x**2/2 + tan(x),tensor(0.0848),-115.46210477561388
Square Root with Quadratic Term_52_57,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc1d32b0>>
Square Root with Quadratic Term_52_58,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f8065790>>
Square Root with Quadratic Term_52_59,x*(x + log(x)),tensor(0.),0
Square Root with Quadratic Term_52_60,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc550640>>
Square Root with Quadratic Term_52_61,x*cos(x + 2),tensor(0.0772),-141.85296231777087
Square Root with Quadratic Term_52_62,x + sin(x) + 2,tensor(0.1557),-28.401946205939257
Square Root with Quadratic Term_52_63,cos(x + 1),tensor(0.0983),-83.1646638883634
Square Root with Quadratic Term_52_64,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc698b50>>
Square Root with Quadratic Term_52_65,asinh(5*x),tensor(0.0722),-163.88819431063564
Square Root with Quadratic Term_52_66,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69301be7f0>>
Square Root with Quadratic Term_52_67,x + cos(x) + 3,tensor(0.1667),-23.970083554080027
Square Root with Quadratic Term_52_68,2*x**(5/4)/5,tensor(0.),0
Square Root with Quadratic Term_52_69,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc73dfd0>>
Square Root with Quadratic Term_52_70,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc596a30>>
Square Root with Quadratic Term_52_71,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc596d00>>
Square Root with Quadratic Term_52_72,0,tensor(0.),0
Square Root with Quadratic Term_52_73,4*x**5 + x**2,tensor(0.0839),-118.37109260977135
Square Root with Quadratic Term_52_74,2*x + cos(2),tensor(0.0689),-181.50196870827813
Square Root with Quadratic Term_52_75,x/3,tensor(0.0838),-118.51622666071847
Square Root with Quadratic Term_52_76,x**2/2 + atan(x),tensor(0.0868),-109.78099516713864
Square Root with Quadratic Term_52_77,7*x,tensor(0.0479),-394.68784275700926
Square Root with Quadratic Term_52_78,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc698160>>
Square Root with Quadratic Term_52_79,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69300bb220>>
Square Root with Quadratic Term_52_80,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6928138d00>>
Square Root with Quadratic Term_52_81,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69281384f0>>
Square Root with Quadratic Term_52_82,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e018c9a0>>
Square Root with Quadratic Term_52_83,x + 2,tensor(0.2059),-13.869545518308088
Square Root with Quadratic Term_52_84,x*tan(2*x),tensor(0.0011),-894649.4625466521
Square Root with Quadratic Term_52_85,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc550eb0>>
Square Root with Quadratic Term_52_86,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69300b6460>>
Square Root with Quadratic Term_52_87,2*x*exp(2*x),tensor(0.0614),-233.04076043843094
Square Root with Quadratic Term_52_88,-x*cosh(x),tensor(0.0818),-124.94602619039081
Square Root with Quadratic Term_52_89,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc596430>>
Square Root with Quadratic Term_52_90,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f695808f6d0>>
Square Root with Quadratic Term_52_91,x + sin(x),tensor(0.0777),-140.02467605955326
Square Root with Quadratic Term_52_92,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e009bdc0>>
Square Root with Quadratic Term_52_93,2*x + 1,tensor(0.1058),-70.42524326911933
Square Root with Quadratic Term_52_94,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc693580>>
Square Root with Quadratic Term_52_95,-cos(acosh(x)),tensor(0.),0
Square Root with Quadratic Term_52_96,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699815aee0>>
Square Root with Quadratic Term_52_97,tanh(2*x + 1),tensor(0.0968),-85.96251621122121
Square Root with Quadratic Term_52_98,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f695814a3d0>>
Square Root with Quadratic Term_52_99,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e01c3100>>
Square Root with Quadratic Term_52_100,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998377af0>>
Square Root with Quadratic Term_52_101,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998377640>>
Square Root with Quadratic Term_52_102,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998377f40>>
Square Root with Quadratic Term_52_103,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e0025a90>>
Square Root with Quadratic Term_52_104,x*(x + 1)**2,tensor(0.0941),-91.7808321134079
Square Root with Quadratic Term_52_105,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69900ae100>>
Square Root with Quadratic Term_52_106,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69900aee80>>
Square Root with Quadratic Term_52_107,exp(x) + cos(x),tensor(0.2007),-14.869010573571662
Square Root with Quadratic Term_52_108,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69900ae0a0>>
Square Root with Quadratic Term_52_109,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69900aeeb0>>
Square Root with Quadratic Term_52_110,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc032640>>
Square Root with Quadratic Term_52_111,x**2*(x + 3),tensor(0.1074),-68.03367786396122
Square Root with Quadratic Term_52_112,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc032220>>
Square Root with Quadratic Term_52_113,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc032880>>
Square Root with Quadratic Term_52_114,x*(x + sin(x)),tensor(0.1015),-77.34627984918257
Square Root with Quadratic Term_52_115,(sqrt(x) + x)**2,tensor(0.),0
Square Root with Quadratic Term_52_116,x + sin(5),tensor(0.0627),-222.56421052165248
Square Root with Quadratic Term_52_117,sin(x)**2,tensor(0.0917),-97.10308956319037
Square Root with Quadratic Term_52_118,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699822ddc0>>
Square Root with Quadratic Term_52_119,x*tan(3),tensor(0.0842),-117.2908897132364
Square Root with Quadratic Term_52_120,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69900ae340>>
Square Root with Quadratic Term_52_121,-x*cosh(x) - sin(x),tensor(0.0774),-140.9121669472608
Square Root with Quadratic Term_52_122,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6928140340>>
Square Root with Quadratic Term_52_123,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69981c81f0>>
Square Root with Quadratic Term_52_124,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f8125910>>
Square Root with Quadratic Term_52_125,-x - exp(x),tensor(0.0583),-259.82915818816076
Square Root with Quadratic Term_52_126,cosh(x + 2),tensor(0.0779),-138.96491030766325
Square Root with Quadratic Term_52_127,atanh(2*x),tensor(0.),0
Square Root with Quadratic Term_53_0,x**3*(x**2 + x),tensor(0.0884),-105.296455406496
Square Root with Quadratic Term_53_1,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69301900a0>>
Square Root with Quadratic Term_53_2,-1,tensor(0.),0
Square Root with Quadratic Term_53_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699822da90>>
Square Root with Quadratic Term_53_4,1/(x + 3),tensor(0.0952),-89.33188006399831
Square Root with Quadratic Term_53_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f804d3d0>>
Square Root with Quadratic Term_53_6,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc550400>>
Square Root with Quadratic Term_53_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69581d1640>>
Square Root with Quadratic Term_53_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e009bd00>>
Square Root with Quadratic Term_53_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e009bc10>>
Square Root with Quadratic Term_53_10,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69280ada60>>
Square Root with Quadratic Term_53_11,2*x**2 + 3,tensor(0.1629),-25.4233830994387
Square Root with Quadratic Term_53_12,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69301b4760>>
Square Root with Quadratic Term_53_13,-x*sin(1),tensor(0.0833),-119.95749064971773
Square Root with Quadratic Term_53_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f815bbb0>>
Square Root with Quadratic Term_53_15,2,tensor(0.),0
Square Root with Quadratic Term_53_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc758940>>
Square Root with Quadratic Term_53_17,x**3/10,tensor(0.0841),-117.51784353534225
Square Root with Quadratic Term_53_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6928133160>>
Square Root with Quadratic Term_53_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc1d3ca0>>
Square Root with Quadratic Term_53_20,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69280ad760>>
Square Root with Quadratic Term_53_21,5*x,tensor(0.0582),-261.0690327320237
Square Root with Quadratic Term_53_22,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699822d6a0>>
Square Root with Quadratic Term_53_23,9*x**2,tensor(0.0779),-139.1417119229536
Square Root with Quadratic Term_53_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6958163be0>>
Square Root with Quadratic Term_53_25,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998252400>>
Square Root with Quadratic Term_53_26,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980b3a00>>
Square Root with Quadratic Term_53_27,log(x + 3),tensor(0.1305),-43.41834582891535
Square Root with Quadratic Term_53_28,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998135790>>
Square Root with Quadratic Term_53_29,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699012ad30>>
Square Root with Quadratic Term_53_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f80d2970>>
Square Root with Quadratic Term_53_31,2*x + 1/3,tensor(0.0850),-114.75545835930181
Square Root with Quadratic Term_53_32,cos(x + 2),tensor(0.0747),-152.27051449846974
Square Root with Quadratic Term_53_33,log(x)**2,tensor(0.),0
Square Root with Quadratic Term_53_34,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e00132b0>>
Square Root with Quadratic Term_53_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69300bbc40>>
Square Root with Quadratic Term_53_36,4*exp(x),tensor(0.0703),-174.06014583373397
Square Root with Quadratic Term_53_37,x*acos(5),tensor(0.),0
Square Root with Quadratic Term_53_38,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc17e220>>
Square Root with Quadratic Term_53_39,x**2/(x + 5),tensor(0.0860),-111.94740759744019
Square Root with Quadratic Term_53_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69301b4fd0>>
Square Root with Quadratic Term_53_41,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc15ee50>>
Square Root with Quadratic Term_53_42,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f692803c7f0>>
Square Root with Quadratic Term_53_43,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f692803c550>>
Square Root with Quadratic Term_53_44,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f8098a00>>
Square Root with Quadratic Term_53_45,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6958068910>>
Square Root with Quadratic Term_53_46,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69981c88e0>>
Square Root with Quadratic Term_53_47,2*x*(x**2 + x),tensor(0.0966),-86.44086457203339
Square Root with Quadratic Term_53_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc195a90>>
Square Root with Quadratic Term_53_49,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f695814ab80>>
Square Root with Quadratic Term_53_50,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69581311c0>>
Square Root with Quadratic Term_53_51,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6958131100>>
Square Root with Quadratic Term_53_52,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc698e20>>
Square Root with Quadratic Term_53_53,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc1d31c0>>
Square Root with Quadratic Term_53_54,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6930038c10>>
Square Root with Quadratic Term_53_55,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc698af0>>
Square Root with Quadratic Term_53_56,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc6986d0>>
Square Root with Quadratic Term_53_57,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699817e520>>
Square Root with Quadratic Term_53_58,-cos(x + 4),tensor(0.1024),-75.9127708359642
Square Root with Quadratic Term_53_59,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f818cfd0>>
Square Root with Quadratic Term_53_60,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699810efd0>>
Square Root with Quadratic Term_53_61,1/(2*x + 5),tensor(0.0906),-99.77803679091376
Square Root with Quadratic Term_53_62,x*sin(x + 3),tensor(0.0765),-144.5258008758074
Square Root with Quadratic Term_53_63,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699820f040>>
Square Root with Quadratic Term_53_64,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f80dd070>>
Square Root with Quadratic Term_53_65,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6930114310>>
Square Root with Quadratic Term_53_66,x + exp(x) + 2,tensor(0.1564),-28.107531361462947
Square Root with Quadratic Term_53_67,sin(x + 1),tensor(0.1092),-65.494554846859
Square Root with Quadratic Term_53_68,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69280b4d00>>
Square Root with Quadratic Term_53_69,4*x*(x + 1),tensor(0.0756),-148.32736524839402
Square Root with Quadratic Term_53_70,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f692817cd60>>
Square Root with Quadratic Term_53_71,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc135fd0>>
Square Root with Quadratic Term_53_72,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6928138790>>
Square Root with Quadratic Term_53_73,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69900aecd0>>
Square Root with Quadratic Term_53_74,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69900aebb0>>
Square Root with Quadratic Term_53_75,(-x**2 + x)/x,tensor(0.1214),-51.35855144695194
Square Root with Quadratic Term_53_76,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f80651c0>>
Square Root with Quadratic Term_53_77,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69301aeca0>>
Square Root with Quadratic Term_53_78,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69301aeb80>>
Square Root with Quadratic Term_53_79,E*x**2,tensor(0.1075),-67.88741121260938
Square Root with Quadratic Term_53_80,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980cdf40>>
Square Root with Quadratic Term_53_81,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69301be640>>
Square Root with Quadratic Term_53_82,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b29ffd00>>
Square Root with Quadratic Term_53_83,2/x,tensor(0.0048),-43765.94651009762
Square Root with Quadratic Term_53_84,sinh(2*x + 1),tensor(0.0783),-137.67778860895453
Square Root with Quadratic Term_53_85,3/2,tensor(0.),0
Square Root with Quadratic Term_53_86,-sinh(x),tensor(0.0826),-122.34232253542828
Square Root with Quadratic Term_53_87,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc64b520>>
Square Root with Quadratic Term_53_88,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699815a2e0>>
Square Root with Quadratic Term_53_89,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc6cf8b0>>
Square Root with Quadratic Term_53_90,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e0054cd0>>
Square Root with Quadratic Term_53_91,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6928129130>>
Square Root with Quadratic Term_53_92,4*x**2 + 4*x,tensor(0.0756),-148.32736524839402
Square Root with Quadratic Term_53_93,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2f7edf0>>
Square Root with Quadratic Term_53_94,x + acos(x),tensor(0.1758),-20.988232880851758
Square Root with Quadratic Term_53_95,1,tensor(0.),0
Square Root with Quadratic Term_53_96,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc6cf4f0>>
Square Root with Quadratic Term_53_97,x*(x**4 + x + 15),tensor(0.0260),-1406.4426649570528
Square Root with Quadratic Term_53_98,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f81b00d0>>
Square Root with Quadratic Term_53_99,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69581f5dc0>>
Square Root with Quadratic Term_53_100,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc1d3370>>
Square Root with Quadratic Term_53_101,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e009be20>>
Square Root with Quadratic Term_53_102,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e009bf40>>
Square Root with Quadratic Term_53_103,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e009b8b0>>
Square Root with Quadratic Term_53_104,atanh(x**2),tensor(0.0950),-89.7948503532741
Square Root with Quadratic Term_53_105,-x**3/3 + 6*x,tensor(0.0537),-309.2446618091688
Square Root with Quadratic Term_53_106,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e0025910>>
Square Root with Quadratic Term_53_107,atanh(x + 4),tensor(0.),0
Square Root with Quadratic Term_53_108,3*x*log(x),tensor(0.),0
Square Root with Quadratic Term_53_109,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980c44c0>>
Square Root with Quadratic Term_53_110,log(x)/16,tensor(0.),0
Square Root with Quadratic Term_53_111,2*x*log(3),tensor(0.0759),-147.03699803810267
Square Root with Quadratic Term_53_112,sin(x),tensor(0.0823),-123.22604002212731
Square Root with Quadratic Term_53_113,x*(x + 1) + 2*x,tensor(0.0762),-145.93933401927515
Square Root with Quadratic Term_53_114,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699812fc40>>
Square Root with Quadratic Term_53_115,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f692808e9a0>>
Square Root with Quadratic Term_53_116,x/(x + 4),tensor(0.0833),-119.94827872194364
Square Root with Quadratic Term_53_117,3*log(x),tensor(0.),0
Square Root with Quadratic Term_53_118,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc73d940>>
Square Root with Quadratic Term_53_119,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69900aeb50>>
Square Root with Quadratic Term_53_120,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69300b10a0>>
Square Root with Quadratic Term_53_121,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69301befa0>>
Square Root with Quadratic Term_53_122,x - sin(x),tensor(0.0841),-117.61281702058784
Square Root with Quadratic Term_53_123,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc11cac0>>
Square Root with Quadratic Term_53_124,x**2 + 2*x,tensor(0.0841),-117.59479819082334
Square Root with Quadratic Term_53_125,x*(1 - x),tensor(0.0741),-155.19130568273312
Square Root with Quadratic Term_53_126,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f8125b20>>
Square Root with Quadratic Term_53_127,6*x - log(cos(x)),tensor(0.0539),-306.98700604224086
Square Root with Quadratic Term_54_0,x**3 + 6*x,tensor(0.0497),-365.13166384564045
Square Root with Quadratic Term_54_1,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69982538e0>>
Square Root with Quadratic Term_54_2,cos(x + 5),tensor(0.0894),-102.76053039514231
Square Root with Quadratic Term_54_3,-x**2/2 + x,tensor(0.0779),-138.9625901577049
Square Root with Quadratic Term_54_4,x + cos(x + 2),tensor(0.0751),-150.49752127097162
Square Root with Quadratic Term_54_5,log(x + 1),tensor(0.0730),-160.11120807779741
Square Root with Quadratic Term_54_6,-x**2/4 + x,tensor(0.0799),-131.4640156028016
Square Root with Quadratic Term_54_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc5c85b0>>
Square Root with Quadratic Term_54_8,x*(4*x**2 + x),tensor(0.0794),-133.61496286597722
Square Root with Quadratic Term_54_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980b39d0>>
Square Root with Quadratic Term_54_10,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f80d2880>>
Square Root with Quadratic Term_54_11,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f80d26a0>>
Square Root with Quadratic Term_54_12,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f80d23d0>>
Square Root with Quadratic Term_54_13,x*(x**2 + x + 3),tensor(0.0713),-168.66669373629162
Square Root with Quadratic Term_54_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69981689d0>>
Square Root with Quadratic Term_54_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6928138d30>>
Square Root with Quadratic Term_54_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f81c78b0>>
Square Root with Quadratic Term_54_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6928138d60>>
Square Root with Quadratic Term_54_18,sin(x + 5),tensor(0.0660),-199.36759050105948
